"area_name","area_code","date","new_cases","total_cases"
"Ealing","E09000009",2020-04-29,23,1180
"Enfield","E09000010",2020-04-29,15,973
"Greenwich","E09000011",2020-04-29,22,757
"Hackney and City of London","E09000012",2020-04-29,10,669
"Hammersmith and Fulham","E09000013",2020-04-29,9,641
"Haringey","E09000014",2020-04-29,10,613
"Harrow","E09000015",2020-04-29,30,1036
"Havering","E09000016",2020-04-29,9,737
"Hillingdon","E09000017",2020-04-29,9,847
"Hounslow","E09000018",2020-04-29,19,784
"Islington","E09000019",2020-04-29,2,449
"Kensington and Chelsea","E09000020",2020-04-29,2,483
"Kingston upon Thames","E09000021",2020-04-29,19,548
"Lambeth","E09000022",2020-04-29,10,1200
"Lewisham","E09000023",2020-04-29,9,1021
"Merton","E09000024",2020-04-29,8,734
"Newham","E09000025",2020-04-29,12,1036
"Redbridge","E09000026",2020-04-29,12,808
"Richmond upon Thames","E09000027",2020-04-29,15,428
"Southwark","E09000028",2020-04-29,16,1267
"Sutton","E09000029",2020-04-29,14,790
"Tower Hamlets","E09000030",2020-04-29,11,675
"Waltham Forest","E09000031",2020-04-29,7,820
"Wandsworth","E09000032",2020-04-29,12,986
"Westminster","E09000033",2020-04-29,8,642
"Barking and Dagenham","E09000002",2020-04-30,5,549
"Barnet","E09000003",2020-04-30,19,1337
"Bexley","E09000004",2020-04-30,16,783
"Brent","E09000005",2020-04-30,18,1469
"Bromley","E09000006",2020-04-30,24,1216
"Camden","E09000007",2020-04-30,8,602
"Croydon","E09000008",2020-04-30,25,1571
"Ealing","E09000009",2020-04-30,20,1200
"Enfield","E09000010",2020-04-30,11,984
"Greenwich","E09000011",2020-04-30,10,767
"Hackney and City of London","E09000012",2020-04-30,6,675
"Hammersmith and Fulham","E09000013",2020-04-30,5,646
"Haringey","E09000014",2020-04-30,3,616
"Harrow","E09000015",2020-04-30,16,1052
"Havering","E09000016",2020-04-30,11,748
"Hillingdon","E09000017",2020-04-30,13,860
"Hounslow","E09000018",2020-04-30,30,814
"Islington","E09000019",2020-04-30,6,455
"Kensington and Chelsea","E09000020",2020-04-30,5,488
"Kingston upon Thames","E09000021",2020-04-30,16,564
